opportunity_id,demand_id,demand_name,intent,recipient,profession,interest,pet,occasion,holiday,best_rank,p25_rank,median_rank,keyword_count,active_months,trend,demand_strength_score,rank_quality_score,trend_score,active_month_score,evidence_score,competition_score,product_gap_score,internal_gap_score,opportunity_score,priority,evidence_keywords,recommendation_note
OP000013,CD000013,Daughter Gift,gift,daughter,,,,,,14014,299879.0,644380.0,355,4,growing,63.55,53.12,100.0,100.0,8.77,0.0,0.0,0.0,66.92,P3,daughter in law gift | awesome like my daughter shirt | favorite daughter sweatshirt | gift for daughter | daughter gift | favorite daughter sweatshirt | gift for daughter in law | bonus daughter gift,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000014,CD000015,Coffee Lover Gift,gift,,,coffee lover,,,,18646,252409.0,538703.5,58,4,growing,62.76,52.13,100.0,100.0,6.09,0.0,0.0,0.0,66.14,P3,coffee lover gift | gift for coffee lovers | coffee lover gift for women | coffee lover gift | coffee lovers gift | gift for coffee lovers women | gift for coffee lovers | coffee lover gift for men,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000015,CD000017,Dog Lover Gift,gift,,,dog lover,,,,28541,228393.5,509130.0,43,4,growing,60.42,49.08,100.0,100.0,5.65,0.0,0.0,0.0,64.55,P3,gift for dog lovers | dog lovers gift for women | dog lover gift | gift for dog lovers | gift for dog lovers women | dog lovers gift for women | dog lover gift | dog lover gift for women,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000016,CD000014,Camping Gift,gift,,,camping,,,,17729,493773.0,829000.5,98,4,growing,59.03,47.47,100.0,100.0,6.86,0.0,0.0,0.0,63.79,P3,camping gift | camping gift for men | camping gift | camping gift for women | camping gift for men | camping gift | camping gift | camping gift,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000017,CD000016,Son Gift,gift,son,,,,,,27364,344785.5,676886.5,230,4,growing,58.15,46.25,100.0,100.0,8.12,0.0,0.0,0.0,63.32,P3,gift for son | son in law gift | gift for adult son | gift for son in law | gift for son | son gift | christmas card for son | birthday card for son,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000018,CD000018,Hairstylist Gift,gift,,hairstylist,,,,,66404,343685.0,694257.0,37,4,growing,51.99,38.3,100.0,100.0,5.43,0.0,0.0,0.0,59.0,P3,hairdresser gift | gift for hairstylist women | hairdresser gift | hairstylist gift women | hairdresser gift for women | gift for hairstylist women | hairstylist gift | hairstylist gift women,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000019,CD000019,Electrician Gift,gift,,electrician,,,,,81075,473787.25,749984.5,32,4,growing,48.95,34.54,100.0,100.0,5.22,0.0,0.0,0.0,57.01,P3,electrician gift | electrician gift for men | lineman gift | electrician gift | lineman gift for men | lineman christmas ornament | electrician gift for men | lineman gift,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000020,CD000020,Male Gift,gift,male,,,,,,81591,477166.0,846201.0,45,4,growing,48.58,34.02,100.0,100.0,5.71,0.0,0.0,0.0,56.81,P3,coffee gift for men | football gift for men | hunter gift for men | coffee gift for men | football gift for men | garden gift for men | football gift for men | football shirt for men,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000021,CD000022,Accountant Gift,gift,,accountant,,,,,138517,594398.75,772038.0,8,4,growing,44.12,28.47,100.0,100.0,3.28,0.0,0.0,0.0,53.67,Watchlist,accountant gift | accountant gift | funny accountant gift | accountant gift | accountant gift for women | accountant gift for men | accountant gift | cpa gift,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000022,CD000021,Realtor Gift,gift,,realtor,,,,,84786,297561.5,656663.0,35,4,declining,51.09,37.09,30.0,100.0,5.35,0.0,0.0,0.0,47.89,Watchlist,open house signs for real estate | realtor gift | open house signs for real estate | open house signs for real estate | real estate agent gift | real estate sign posts | realtor gift | realtor gift for women,Demand has rank signal but is declining; validate before prioritizing.
OP000023,CD000023,Senior Gift,gift,senior,,,,,,217562,465719.5,850181.5,16,2,growing,30.99,25.41,100.0,50.0,4.23,0.0,0.0,0.0,40.4,Watchlist,football senior night gift | senior football gift | senior night football gift | senior football player gift | senior football gift | football senior night gift | football senior night decorations | senior night football gift ideas,"Qualified demand signal; review niche, product gap, and catalog fit."
