demand_name,intent,recipient,profession,interest,occasion,holiday,keyword_count,best_rank,p25_rank,median_rank,active_months,trend
Anniversary Wife Gift,gift,wife,,,anniversary,,27,113658,295004.0,654420.0,4,declining
Girl Wedding,wedding,girl,,,wedding,,34,114321,611499.25,770080.0,4,declining
Camping Birthday,birthday,,,camping,birthday,,10,118005,215109.5,321258.5,4,declining
Truck Driver Apparel,apparel,,truck driver,,,,21,118999,296266.0,541404.0,4,growing
Gaming Apparel,apparel,,,gaming,,,41,121989,316382.0,677515.0,4,growing
Fishing Apparel,apparel,,,fishing,,,12,124153,421838.25,609504.0,4,growing
Christmas Nurse Gift,gift,,nurse,,christmas,christmas,5,129194,301402.0,887193.0,2,growing
Christmas Soccer,christmas,,,soccer,christmas,christmas,53,129665,344822.0,728616.0,4,growing
Pickleball Apparel,apparel,,,pickleball,,,61,133348,327210.0,565316.0,4,growing
Camping Decor,decor,,,camping,,,41,134159,394321.0,718592.0,4,declining
Accountant Gift,gift,,accountant,,,,7,138517,541702.5,794075.0,4,growing
Hunting Matching,matching,,,hunting,,,3,138615,247273.0,355931.0,2,growing
Girl Decor,decor,girl,,,halloween,halloween,12,138882,340001.5,765747.0,2,growing
Birthday Grandpa Gift,gift,grandpa,,,birthday,,16,143641,507108.25,811198.0,4,declining
Christmas Fishing,christmas,,,fishing,christmas,christmas,21,143811,525468.0,896529.0,3,growing
Girl Country Girl Gift,gift,girl,,,,,5,147111,288665.0,709644.0,4,growing
Nurse Funny Gift,gift,,nurse,,,,6,150053,480047.25,861450.0,4,growing
Christmas Son Gift,gift,son,,,christmas,christmas,26,150174,431401.5,824155.5,2,growing
Mom Wedding,wedding,mom,,,wedding,,22,152991,410648.75,565029.5,4,declining
Fishing Funny Gift,gift,,,fishing,,,8,153878,603480.0,830945.5,4,growing
